epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,1950.23,1.06259,0.82282,1.07197,0.59953,0.51852,0.618,0.39226,1.36486,1.51332,1.61287,0.0011684,0.0011684,0.0011684
44,1995.35,0.91777,0.77624,1.06082,0.73543,0.85185,0.79585,0.49302,1.39165,1.15357,1.5306,0.0011486,0.0011486,0.0011486
45,2040.09,0.75866,0.83324,1.04276,0.82074,0.88889,0.90457,0.54347,1.37615,1.03885,1.44107,0.0011288,0.0011288,0.0011288
46,2084.85,0.97854,0.73298,1.09253,0.92796,0.95443,0.94387,0.56792,1.31405,0.92493,1.36022,0.001109,0.001109,0.001109
47,2130.44,0.88374,0.83921,1.00165,0.99578,0.96296,0.9761,0.62487,1.24803,0.84799,1.33115,0.0010892,0.0010892,0.0010892
48,2176.58,1.02795,1.00421,1.11225,1,0.91882,0.97674,0.61944,1.27633,0.87191,1.42254,0.0010694,0.0010694,0.0010694
49,2221.84,0.98642,0.87111,1.12381,0.9884,0.88889,0.94369,0.59307,1.33789,0.95376,1.5051,0.0010496,0.0010496,0.0010496
50,2266.57,0.84414,0.76135,1.09756,0.90943,0.88889,0.94807,0.56406,1.40415,1.04192,1.48046,0.0010298,0.0010298,0.0010298
51,2311.63,0.80143,0.66947,1.01152,0.93977,0.85185,0.93134,0.58126,1.37413,0.99703,1.43148,0.00101,0.00101,0.00101
52,2357.91,0.9541,0.79371,1.19932,0.80648,0.92608,0.9554,0.56453,1.31103,0.95942,1.34688,0.0009902,0.0009902,0.0009902
53,2403.08,0.79492,0.65155,1.01698,0.8094,0.96296,0.95567,0.59641,1.27541,0.93396,1.3314,0.0009704,0.0009704,0.0009704
54,2447.57,0.91918,0.748,1.09077,0.88245,0.88889,0.95988,0.61457,1.25838,0.91585,1.33218,0.0009506,0.0009506,0.0009506
55,2492.37,0.82659,0.66229,1.04628,0.95489,0.85185,0.95849,0.61158,1.23811,0.8798,1.31146,0.0009308,0.0009308,0.0009308
56,2537.36,0.86647,0.72826,1.02459,0.86898,0.98287,0.97418,0.61241,1.2198,0.83999,1.27314,0.000911,0.000911,0.000911
57,2583.07,0.74781,0.66235,1.00017,0.91054,0.92593,0.97606,0.63086,1.22258,0.82582,1.25858,0.0008912,0.0008912,0.0008912
58,2628.69,0.72973,0.65098,1.01657,1,0.9247,0.98666,0.61418,1.25796,0.79907,1.27396,0.0008714,0.0008714,0.0008714
59,2672.88,0.84814,0.65832,1.03659,1,0.92253,0.98111,0.59631,1.25917,0.79313,1.31666,0.0008516,0.0008516,0.0008516
60,2717.53,0.72009,0.59616,0.99119,0.99592,0.92593,0.98403,0.60766,1.28076,0.75686,1.3197,0.0008318,0.0008318,0.0008318
61,2762.96,0.83214,0.68636,1.03867,0.99386,0.92593,0.988,0.63039,1.24236,0.75356,1.29572,0.000812,0.000812,0.000812
62,2808.46,0.82016,0.72974,1.07857,1,0.96004,0.99393,0.64852,1.19314,0.70388,1.24856,0.0007922,0.0007922,0.0007922
63,2854.22,0.89067,0.77001,1.12413,1,0.99705,0.995,0.64243,1.22612,0.69792,1.24043,0.0007724,0.0007724,0.0007724
64,2898.47,0.85446,0.71524,1.07483,1,0.99785,0.995,0.62182,1.25306,0.72183,1.25835,0.0007526,0.0007526,0.0007526
65,2944.68,0.73984,0.66583,1.02485,1,0.99719,0.995,0.61375,1.26023,0.74872,1.28056,0.0007328,0.0007328,0.0007328
66,2990.63,0.84518,0.68517,1.11147,1,0.99701,0.995,0.61165,1.26847,0.74178,1.30325,0.000713,0.000713,0.000713
67,3035.62,0.73264,0.58595,0.97458,1,0.99821,0.995,0.60964,1.25774,0.74199,1.30601,0.0006932,0.0006932,0.0006932
68,3079.83,0.69269,0.57722,0.94403,0.99398,1,0.995,0.62459,1.24957,0.73113,1.31031,0.0006734,0.0006734,0.0006734
69,3124.84,0.74756,0.56559,0.95657,1,0.99708,0.995,0.6324,1.23941,0.71952,1.30805,0.0006536,0.0006536,0.0006536
70,3170,0.68796,0.55749,0.97532,0.9976,0.96296,0.99293,0.62111,1.24934,0.71702,1.31419,0.0006338,0.0006338,0.0006338
71,3214.98,0.79294,0.66174,0.9802,1,0.96144,0.99293,0.62389,1.2259,0.71065,1.29563,0.000614,0.000614,0.000614
72,3258.79,0.76277,0.56658,0.99217,1,0.95504,0.99293,0.62926,1.21568,0.70523,1.28917,0.0005942,0.0005942,0.0005942
73,3303.46,0.75089,0.58451,0.96665,0.92771,1,0.99017,0.62422,1.21092,0.70406,1.28807,0.0005744,0.0005744,0.0005744
74,3349.92,0.75385,0.76851,1.04475,0.98333,0.96296,0.99293,0.62919,1.22973,0.71214,1.29319,0.0005546,0.0005546,0.0005546
75,3394.79,0.73636,0.62406,1.01552,0.9309,0.99794,0.99145,0.63733,1.22095,0.74167,1.27501,0.0005348,0.0005348,0.0005348
76,3439.05,0.70783,0.58156,1.00412,0.92902,1,0.99145,0.64059,1.22288,0.73106,1.28148,0.000515,0.000515,0.000515
77,3484.22,0.63463,0.59325,0.99898,0.98845,0.92593,0.98914,0.64365,1.2205,0.72887,1.29298,0.0004952,0.0004952,0.0004952
78,3529.18,0.69586,0.56364,0.99885,0.92902,1,0.99145,0.64373,1.21071,0.72926,1.29809,0.0004754,0.0004754,0.0004754
79,3574.57,0.62077,0.55008,0.93589,0.96253,1,0.9925,0.63572,1.20867,0.71501,1.31249,0.0004556,0.0004556,0.0004556
80,3618.63,0.64111,0.55646,0.95356,0.96287,1,0.9925,0.63685,1.20122,0.6978,1.31245,0.0004358,0.0004358,0.0004358
81,3663.78,0.65345,0.54368,0.96316,0.96428,0.99987,0.9925,0.65329,1.21209,0.69908,1.31019,0.000416,0.000416,0.000416
82,3709.45,0.64764,0.53431,0.95588,0.9642,0.99765,0.9925,0.64915,1.21827,0.71428,1.29264,0.0003962,0.0003962,0.0003962
83,3754.47,0.64664,0.55667,0.949,0.96416,0.99636,0.9925,0.66506,1.21146,0.69735,1.27249,0.0003764,0.0003764,0.0003764
84,3799.4,0.69446,0.56455,0.97786,1,0.96233,0.99393,0.65636,1.20151,0.65972,1.2818,0.0003566,0.0003566,0.0003566
85,3844.85,0.67007,0.51451,0.98624,1,0.99757,0.995,0.65764,1.20411,0.65133,1.30267,0.0003368,0.0003368,0.0003368
86,3889.75,0.71222,0.72139,1.05397,1,0.9984,0.995,0.65331,1.20886,0.62972,1.32355,0.000317,0.000317,0.000317
87,3934.79,0.64168,0.53188,0.9224,1,0.99834,0.995,0.66146,1.19946,0.62922,1.32743,0.0002972,0.0002972,0.0002972
88,3984.01,0.54662,0.52926,0.9871,0.99876,1,0.995,0.65411,1.21399,0.6224,1.33988,0.0002774,0.0002774,0.0002774
89,4029.16,0.63862,0.53116,0.94796,0.99779,1,0.995,0.64665,1.23095,0.62579,1.34465,0.0002576,0.0002576,0.0002576
90,4073.85,0.55087,0.51062,0.92979,0.99697,1,0.995,0.64812,1.23493,0.63801,1.33938,0.0002378,0.0002378,0.0002378
91,4118.67,0.6455,0.89842,0.96984,0.99674,1,0.995,0.65266,1.2405,0.64588,1.33655,0.000218,0.000218,0.000218
92,4163.85,0.67683,0.64208,0.93437,0.97779,1,0.995,0.6454,1.24149,0.65898,1.3334,0.0001982,0.0001982,0.0001982
93,4208.31,0.5619,0.53232,0.86016,0.99566,1,0.995,0.64486,1.24188,0.661,1.32281,0.0001784,0.0001784,0.0001784
94,4252.89,0.57132,0.70399,0.87693,0.99577,1,0.995,0.64576,1.2501,0.66029,1.33099,0.0001586,0.0001586,0.0001586
95,4297.88,0.59134,0.55151,0.90221,0.99523,1,0.995,0.64372,1.25428,0.66354,1.34352,0.0001388,0.0001388,0.0001388
96,4342.61,0.52431,0.5528,0.89723,0.96124,1,0.99,0.62938,1.25791,0.66743,1.35438,0.000119,0.000119,0.000119
97,4387.88,0.5754,0.55719,0.84688,0.96127,1,0.99,0.63398,1.26003,0.67628,1.35451,9.92e-05,9.92e-05,9.92e-05
98,4433.82,0.52412,0.52496,0.88851,0.9249,0.96296,0.98476,0.64491,1.26418,0.68218,1.35764,7.94e-05,7.94e-05,7.94e-05
99,4477.72,0.50599,0.56744,0.89251,0.92517,0.96296,0.98592,0.63906,1.25898,0.68442,1.35401,5.96e-05,5.96e-05,5.96e-05
100,4522.14,0.56883,0.54417,0.88042,0.92579,0.96296,0.98592,0.6427,1.25886,0.68445,1.35215,3.98e-05,3.98e-05,3.98e-05
